In Millions of USD except Per Share,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
"  Unregulated Electric, gas & other",,2901,0.544481981981982,3305,0.626659082290482,672,0.221928665785997,335,0.125609298837645,334,0.206172839506173,783,0.269720978298312,805,0.245501677340653,620,0.221033868092692,644,0.212191103789127,730,0.246122724207687,942,0.255422993492408,708,0.233586275156714,747,0.223853760863051,837,0.259213378755033,819,0.233466362599772,689,0.219917012448133,908,0.241232731137088,829,0.249623607347185,1059,0.270084162203519,978,0.289092521430683,1139,0.281443044230294,965,0.268727373990532,1335,0.296403197158082,1098,0.290245836637589,1263,0.309407153356198,1240,0.316165221825599,867,0.218058350100604,1098,0.290245836637589,1399,0.342640215527798,1198,0.305846310952259,882,0.22027972027972,1443,0.240740740740741,1072,0.265084075173096,1341,0.329889298892989,1284,0.290958531611149,1319,0.309988249118684,111,0.0315609894796702,426,0.127430451690099
    Gas Utilities & Infrastracture,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,255,0.0677470775770457,271,0.0816019271303824,293,0.0747258352461107,339,0.100206916937629,336,0.0830244625648629,310,0.0863269284321916,273,0.0606127886323268,285,0.0753370340999207,348,0.0852523272905439,406,0.103518612952575,360,0.0905432595573441,285,0.0753370340999207,402,0.0984570168993387,397,0.101353076333929,382,0.0954045954045954,368,0.0613947280613947,392,0.0969337289812067,406,0.0998769987699877,370,0.0838431905733062,378,0.0888366627497062,130,0.0369633210122263,364,0.108884235716422
    Electric Utilities & Infrastracture,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,537,0.142667375132837,474,0.142728093947606,609,0.155317521040551,494,0.146024238841265,579,0.143068939955523,540,0.150375939849624,736,0.163410301953819,592,0.156489558551414,644,0.157765801077903,595,0.151708312085671,192,0.0482897384305835,592,0.156489558551414,580,0.142052412441832,502,0.128159305591014,208,0.0519480519480519,788,0.131464798131465,452,0.111770524233432,557,0.137023370233702,550,0.124631769771131,547,0.12855464159812,-32,-0.00909866363377879,64,0.0191444810050853
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,116,0.0308182784272051,84,0.025293586269196,157,0.0400408059168579,145,0.0428613656517884,224,0.0553496417099086,115,0.0320245057087162,325,0.072158081705151,221,0.0584192439862543,271,0.0663890249877511,239,0.0609382967873534,315,0.0792253521126761,221,0.0584192439862543,417,0.102130786186627,299,0.0763339290273168,292,0.0729270729270729,287,0.0478812145478812,228,0.056379821958457,378,0.0929889298892989,364,0.082483571266712,394,0.0925969447708578,13,0.00369633210122263,-2,-0.000598265031408914
  Regulated Natural Gas,,1168,0.219219219219219,743,0.140879787637467,742,0.245046235138705,1025,0.384326959130109,0,,93,0.0320358250086118,71,0.0216529429704178,223,0.0795008912655971,339,0.11169686985173,108,0.0364126770060688,64,0.017353579175705,209,0.068954140547674,357,0.106982319448607,113,0.034995354598947,86,0.024515393386545,234,0.0746887966804979,300,0.079702444208289,94,0.0283047274917194,78,0.0198928844682479,178,0.052616021282885,271,0.0669631826043983,87,0.0242272347535505,78,0.0173179396092362,185,0.048902987047317,236,0.0578147966682998,94,0.0239673635900051,81,0.0203722334004024,185,0.048902987047317,171,0.0418809698750918,82,0.0209343885626755,78,0.0194805194805195,140,0.0233566900233567,186,0.0459940652818991,94,0.0231242312423124,84,0.0190346702923182,149,0.0350176263219741,222,0.0631219789593404,107,0.0320071791803769
    Gas Utilities & Infrastracture,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,300,0.079702444208289,94,0.0283047274917194,78,0.0198928844682479,178,0.052616021282885,271,0.0669631826043983,87,0.0242272347535505,78,0.0173179396092362,185,0.048902987047317,236,0.0578147966682998,94,0.0239673635900051,81,0.0203722334004024,185,0.048902987047317,171,0.0418809698750918,82,0.0209343885626755,78,0.0194805194805195,140,0.0233566900233567,186,0.0459940652818991,94,0.0231242312423124,84,0.0190346702923182,149,0.0350176263219741,223,0.0634063121978959,107,0.0320071791803769
Intersegment Revenue,,65,1.0,71,1.0,54,1.0,67,1.0,23,1.0,43,1.0,28,1.0,32,1.0,25,1.0,50,1.0,27,1.0,26,1.0,24,1.0,23,1.0,23,1.0,27,1.0,24,1.0,23,1.0,25,1.0,38,1.0,22,1.0,22,1.0,25,1.0,23,1.0,23,1.0,25,1.0,23,1.0,21,1.0,35,1.0,35,1.0,47,1.0,25,1.0,41,1.0,40,1.0,44,1.0,34,1.0,30,1.0,32,1.0
  Other,,-59,-0.907692307692308,7,0.0985915492957746,-66,-1.22222222222222,150,2.23880597014925,15,0.652173913043478,40,0.930232558139535,20,0.714285714285714,24,0.75,17,0.68,40,0.8,18,0.666666666666667,17,0.653846153846154,15,0.625,15,0.652173913043478,13,0.565217391304348,16,0.592592592592593,14,0.583333333333333,14,0.608695652173913,14,0.56,13,0.342105263157895,11,0.5,13,0.590909090909091,14,0.56,12,0.521739130434783,12,0.521739130434783,13,0.52,11,0.478260869565217,12,0.571428571428571,11,0.314285714285714,12,0.342857142857143,18,0.382978723404255,6,0.24,20,0.48780487804878,21,0.525,24,0.545454545454545,23,0.676470588235294,20,0.666666666666667,21,0.65625
  Regulated Utilities,,5,0.0769230769230769,5,0.0704225352112676,5,0.0925925925925926,4,0.0597014925373134,4,0.173913043478261,5,0.116279069767442,5,0.178571428571429,7,0.21875,5,0.2,7,0.14,6,0.222222222222222,7,0.269230769230769,6,0.25,6,0.260869565217391,7,0.304347826086957,10,0.37037037037037,8,0.333333333333333,8,0.347826086956522,10,0.4,22,0.578947368421053,9,0.409090909090909,6,0.272727272727273,10,0.4,9,0.391304347826087,9,0.391304347826087,9,0.36,9,0.391304347826087,6,0.285714285714286,8,0.228571428571429,9,0.257142857142857,12,0.25531914893617,9,0.36,8,0.195121951219512,9,0.225,18,0.409090909090909,4,0.117647058823529,10,0.333333333333333,11,0.34375
  International Energy,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
