In Millions of CNY except Per Share,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
  Vehicles,,—,,—,,—,,—,,—,,—,,—,,—,,61570,1.0,96981,1.0,110942,1.0,158179,1.0,108184,1.0,145681,1.0,207620,1.0,286055,1.0,287530,1.0,365019,1.0,543669,1.0,679336,1.0,567183,1.0,708364,1.0,837188,1.0,932496,1.0,612315,1.0,1019718,1.0
    New Energy Vehicle,,—,,—,,—,,—,,—,,—,,—,,—,,22317,0.3624654864382,38359,0.39553108340809,50322,0.453588361486182,78868,0.498599687695585,55619,0.51411484138135,101574,0.697235741105566,184492,0.888604180714767,265434,0.927912464386219,287530,1.0,360384,0.987302030853188,543669,1.0,679336,1.0,567183,1.0,708364,1.0,837188,1.0,932496,1.0,612315,1.0,1013880,0.994274887763087
      Passenger Vehicles,,—,,—,,—,,—,,—,,—,,—,,—,,21647,0.351583563423745,35801,0.369154782895619,46471,0.41887653007878,75312,0.476118827404396,54248,0.501441987724617,98577,0.676663394677412,182079,0.876981986321164,262177,0.916526542098547,285938,0.99446318645011,358783,0.982915957799457,542129,0.997167394131356,684069,1.00696709728323,562946,0.992529747894419,705049,0.995320202607699,835299,0.997743637032542,930368,0.997717952677545,610450,0.996954182079485,1015745,0.99610382478293
        Plug - In Hybrid Electric Vehicle,,—,,—,,—,,—,,—,,—,,—,,—,,3429,0.0556927074874127,7778,0.0802012765387035,14349,0.129337852211065,22592,0.142825533098578,14865,0.137404791836131,42497,0.291712714767197,89605,0.431581735863597,127131,0.444428518991103,141718,0.492880742879004,175966,0.482073535898131,278362,0.512006386238686,357755,0.526624527479774,295127,0.520338232986532,341816,0.48254287343795,395754,0.47271819471851,411394,0.441175082788559,318720,0.5205164008721,577392,0.566227133383936
        Battery Electric Vehicles,,—,,—,,—,,—,,—,,—,,—,,—,,18218,0.295890855936333,28023,0.288953506356915,32122,0.289538677867715,52720,0.333293294305818,39383,0.364037195888486,56080,0.384950679910215,92474,0.445400250457567,135046,0.472098023107444,144220,0.501582443571106,182817,0.500842421901326,263767,0.48516100789267,326314,0.480342569803455,267819,0.472191514907887,363233,0.512777329169749,439545,0.525025442314032,518974,0.556542869888986,291730,0.476437781207385,438353,0.429876691398995
      Commercial Vehicles,,—,,—,,—,,—,,—,,—,,—,,—,,670,0.0108819230144551,2558,0.0263763005124715,3851,0.0347118314074021,3556,0.0224808602911891,1371,0.012672853656733,2997,0.0205723464281547,2413,0.0116221943936037,3257,0.011385922287672,1592,0.00553681354989045,1601,0.00438607305373145,1540,0.00283260586864434,1382,0.00203433941378052,4237,0.00747025210558144,3315,0.00467979739230113,1889,0.00225636296745773,2128,0.002282047322455,1865,0.00304581792051477,3973,0.00389617521706982
        Others,,—,,—,,—,,—,,—,,—,,—,,—,,43,0.000698392074062043,304,0.00313463461915221,659,0.00594004074200934,504,0.00318626366331814,549,0.00507468756932633,1201,0.00824404006013138,1197,0.00576534052596089,1319,0.00461100138085333,355,0.00123465377525823,232,0.000635583353195313,186,0.000342119929589511,472,0.000694796095010422,3494,0.00616026926053849,2133,0.00301116375196933,1006,0.00120164168621624,231,0.000247722242240181,1070,0.00174746658174306,2670,0.00261837096138344
        Bus,,—,,—,,—,,—,,—,,—,,—,,—,,627,0.010183530940393,2254,0.0232416658933193,3192,0.0287717906653927,3052,0.019294596627871,822,0.00759816608740664,1796,0.0123283063680233,1216,0.00585685386764281,1938,0.00677492090681862,1237,0.00430215977463221,1369,0.00375048970053614,1354,0.00249048593905483,910,0.00133954331877009,743,0.00130998284504296,1182,0.00166863364033181,883,0.00105472128124149,1897,0.00203432508021482,795,0.00129835133877171,1303,0.00127780425568638
    Oil-Fueled Vehicle,,—,,—,,—,,—,,—,,—,,—,,—,,39253,0.6375345135618,58622,0.60446891659191,60620,0.546411638513818,79311,0.501400312304415,52565,0.48588515861865,44107,0.302764258894434,23128,0.111395819285233,20621,0.0720875356137806,4635,0.0161200570375265,0,,0,,0,,0,,0,,0,,0,,—,,—,
      MPV,,—,,—,,—,,—,,—,,—,,—,,—,,3190,0.051810946889719,3728,0.0384405192769718,7966,0.0718032845991599,8542,0.0540021115318721,4597,0.0424924203209347,3129,0.0214784357603256,2683,0.0129226471438204,982,0.0034329062592858,0,,0,,0,,0,,0,,0,,0,,0,,—,,—,
      SUV,,—,,—,,—,,—,,—,,—,,—,,—,,28266,0.459087217800877,46846,0.483043070292119,42280,0.381100034252132,57479,0.363379462507665,33877,0.313142424018339,28115,0.192990163439295,15428,0.0743088334457181,16308,0.0570100155564489,3177,0.0110492818140716,0,,0,,0,,0,,0,,0,,0,,—,,—,
      Sedan,,—,,—,,—,,—,,—,,—,,—,,—,,7797,0.126636348871204,8048,0.0829853270228189,10374,0.0935083196625264,13290,0.0840187382648771,14091,0.130250314279376,12863,0.0882956596948126,5017,0.0241643386956941,3331,0.0116446137980458,1458,0.00507077522345494,0,,0,,0,,0,,0,,0,,0,,—,,—,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
