Date,Revenue,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,    Foods & Sundries,    Non - Foods,    Warehouse Ancillary and Other Business,    Fresh Foods,    Softlines,    Hardlines,  Membership Fees,  Membership Fees,Percentage of Revenue,  Membership Fees,  Membership Fees,Same Store Sales %,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales % with fuel,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Total Square Feet/Meter,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Foreign Exchange Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Cannibalization Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Gas Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Internet Sales Growth,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Locations,  Leased,  Leased,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    France,    France,    France,    France,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Iceland,    Iceland,    Iceland,    Iceland,    United States,    United States,    United States,    United States,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Canada,    Canada,    Canada,    Canada,  Owned,  Owned,    Japan,    Japan,    Japan,    Japan,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    United States,    United States,    United States,    United States,    France,    France,    France,    France,    Canada,    Canada,    Canada,    Canada,    Korea,    Korea,    Korea,    Korea,    Mexico,    Mexico,    Mexico,    Mexico,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Iceland,    Iceland,    Iceland,    Iceland,Retail - Number of Locations Opened,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Retail - Number of Locations Closed,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Stores by Ownership,  Leased,  Leased,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    France,    France,    France,    France,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Iceland,    Iceland,    Iceland,    Iceland,    United States,    United States,    United States,    United States,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Canada,    Canada,    Canada,    Canada,  Owned,  Owned,    Japan,    Japan,    Japan,    Japan,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    United States,    United States,    United States,    United States,    France,    France,    France,    France,    Canada,    Canada,    Canada,    Canada,    Korea,    Korea,    Korea,    Korea,    Mexico,    Mexico,    Mexico,    Mexico,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Iceland,    Iceland,    Iceland,    Iceland,Ticket or Ticket per Transaction,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Warehouse Club Membership Base,  Paid Members,"    Business, Including Affiliates",    Gold Star,  Household Card,    Executive,Source: Bloomberg
11/22/2020,43208,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,18019,12384,6081,5863,—,—,861,—,—,861,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,42347,17.1,15.4,—,—,—,—,86.4,—,—,—,107100,59100,—,—,48000,23300,
02/14/2021,44769,43888,12.9,13,—,—,—,—,75.8,—,—,—,17624,13723,6287,6254,—,—,881,—,—,881,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,43888,12.9,13,—,—,—,—,75.8,—,—,—,108300,59700,—,—,48600,23800,
05/09/2021,45277,44376,15,21,—,—,—,—,41.2,—,—,7.3,17551,12899,7630,6296,—,—,901,11,—,901,11,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,44376,15,21,—,—,—,—,41.2,—,—,7.3,109800,60600,—,—,49200,24600,
08/29/2021,62675,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,24083,16960,11628,8770,—,—,1234,—,—,1234,—,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,61441,9.4,15.5,—,—,—,—,11.2,—,—,5.8,111600,61700,—,—,49900,25600,
11/21/2021,50363,49417,9.8,15,—,—,—,—,14.3,—,—,—,19563,14162,9253,6439,—,—,946,—,—,946,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,49417,9.8,15,—,—,—,—,14.3,—,—,—,111600,62500,—,—,49100,26500,
02/13/2022,51904,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,19489,15105,9384,6959,—,—,967,—,—,967,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,50937,11.1,14.4,—,—,—,—,12.5,—,—,—,114800,63400,—,—,51400,27100,
05/08/2022,52596,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,19594,13810,11395,6813,—,—,984,9,—,984,9,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,51612,10.8,14.9,—,—,—,—,7.4,—,—,—,116600,64400,—,—,52200,27900,
08/28/2022,72091,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,26983,18023,16442,9316,—,—,1327,—,—,1327,—,—,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,—,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,—,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,—,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,—,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,—,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,—,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,0,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,70764,10.4,13.7,—,—,—,—,7.1,8,0,—,118900,65800,11800,54000,53100,29100,
11/20/2022,54437,53437,7.1,6.6,—,—,—,—,-2,—,—,—,21448,14032,11240,6717,—,—,1000,—,—,1000,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,53437,7.1,6.6,—,—,—,—,-2,—,—,—,120900,66900,—,—,54000,30000,
02/12/2023,55266,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,21926,14741,10196,7376,—,—,1027,—,—,1027,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,54239,6.8,5.2,—,—,—,—,-9.6,—,—,—,123000,68100,—,—,54900,30600,
05/07/2023,53648,52604,3.5,0.3,—,—,—,—,-10,—,—,—,21298,13087,11025,7194,—,—,1044,6,—,1044,6,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,52604,3.5,0.3,—,—,—,—,-10,—,—,—,124700,69100,—,—,55600,31300,
09/03/2023,78939,77430,—,1.1,—,—,—,—,-0.8,—,—,—,31503,19005,16232,10690,—,—,1509,—,—,1509,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,77430,—,1.1,—,—,—,—,-0.8,—,—,—,127900,71000,12200,58800,56900,32300,
11/26/2023,57799,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,23024,14766,11599,7328,—,—,1082,—,—,1082,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,56717,3.9,3.8,—,—,—,—,6.1,—,—,—,129500,72000,—,—,57500,33200,
02/18/2024,58442,57331,—,5.6,—,—,—,—,—,—,—,—,23675,15017,10643,7996,—,—,1111,—,—,1111,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,57331,—,5.6,—,—,—,—,—,—,—,—,132000,73400,—,—,58600,33900,
