date,,1990-03-30 00:00:00,1990-06-29,1990-09-28,1990-12-31,1991-03-28,1991-06-28,1991-09-30,1991-12-31,1992-03-31,1992-06-30,1992-09-30,1992-12-31,1993-03-31,1993-06-30,1993-09-30,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,-152.313,,,,-162.366,-182.258,-86.329,-51.607,-289.252,-171.893,-400.049,-109.04,-272.941,-139.04,-258.378,-209.98,-438.266,-345.235,-380.776,-198.409,-415.423,-302.03,-229.853,-232.822,-269.1099,-275.981,-167.727,-152.839,-194.041,-428.954,-103.559,-274.837,-241.131,-237.484,-597.457,-807.318,-409.254,-145.276,-232.274,-275.417,-508.783,156.894,-167.586,-230.517,-414.101,-324.818,-873.475,-267.545,-86.203,-302,-257,-219,-323,-296,-210,-406,-1103,-137,-724,-377,58,-352,-100,-65,-719,-855,0,-261,-1135,-826,-65,-596,-606,-653,-527,-595,-705,-332,-620,-368,-1025,-655,-397,-498,-816,-785,-373,-694,-1095,-737,-434,-774,-920,-630,-470,-1850,-941,-682,-355,-1343,-1155,-912,-481,-1035,-1487,-1057,-808,-1282,-1825,-366,-1386,-954,-1703
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-92.137,0,-47.094,-47.733,-109.74,,-54.756,-54.096,-121.359,0,-59.358,-58.277,-128.107,0,-63.055,-62.985,-138.96,0,-69,-70,-157,-79,0,-79,-180,-89,0,-90,-210,0,-105,-104,-237,0,-3169,-120,-271,0,-137,-136,-311,,,-2358,-351,0,-176,-176,-394,-198,0,-198,-3508,0,-220,-219,-250,-501,0,-251,-286,-573,0,-287,-619,-310,-4430,-310,-698,-350,0,-351,-797,-400,0,-399,-452,-905,-7107,-515,-514
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.041,-16.218,-0.965,8.12,17.883,-1.946,-1.761,-5.312,-16.645,22.033,4.979,-9.752,309.941,-63.313,-76.101,-106.013,292.682,-196.156,-0.534,51.157,-122.032,4.043,71.058,4.749,-48.02,-111.662,119.212,2.376,90.585,55.329,10.181,-335.05,62.334,26.889,-61.676,3.872,143.185,62.572,1560.452,-46.58,202.19,-53.887,75.285,-53.588,39,-87,-57,-31,-6,72,-19,-118,71,-415,354,-550,272,-220,-413,48,247,3259,86,94,22,-26,-26,208,15,-85,1023,126,63,-1310,14,211,-178,-94,-1071,2689,319,-410,10,75,104,69,-96,342,122,-1339,3364,-1218,40,-107,68,134,0,-807,-89,99,0,-41,-65,13,387,-9,111,-1060
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.215,15.527,27.646,20.727,11.13,22.053,15.921,12.819,16.619,22.922,51.9,-92.559,7.952,23.519,11.066,19.463,9.589,28.224,17.162,11.796,6.028,3.377,11.51,13.752,5.923,20.162,15.462,83.197,130.496,38.733,32.248,-336.476,-101.519,-342.929,-136.511,-469.294,-373.516,-421.704,-518.184,-331.074,-205.482,-67.882,-70.03,-204.606,-63,8,18,-8,41,45,-25,-367,-16,50,39,-263,-102,-131,-98,-128,12,38,19,8,70,10,-154,-176,54,-84,-95,-254,-68,-71,-137,-136,-122,-68,-46,-233,-124,-60,-54,-90,-32,-117,-46,-52,-30,-47,-34,-85,-80,-106,-181,-129,-37,-78,-139,-185,-141,-143,-162,-230,-162,-160,-162,-216
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.215,15.527,27.646,20.727,11.13,22.053,15.921,12.819,16.619,22.922,52.622,6.665,7.952,23.519,11.066,19.463,9.589,28.224,17.162,11.796,6.028,3.377,11.51,13.752,5.923,20.162,15.462,83.197,130.496,38.733,32.248,76.776,82.262,84.764,163.43,62.102,38.133,85.403,69.221,140.372,78.686,54.965,184.207,29.142,4,8,20,,41,51,85,68,129,144,147,14,61,18,42,52,48,38,19,8,70,10,17,,72,0,28,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.722,-99.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-413.252,-183.781,-427.693,-299.941,-531.396,-411.649,-507.107,-587.405,-471.446,-284.168,-122.847,-254.237,-233.748,-67,0,-2,,0,-6,-110,-435,-145,-94,-108,-277,-163,-149,-140,-180,-36,0,0,0,0,0,-171,,-18,-84,-123,-256,-142,-71,-137,-136,-122,-68,-46,-233,-124,-60,-54,-90,-32,-117,-46,-52,-30,-47,-34,-85,-80,-106,-181,-129,-37,-78,-139,-185,-141,-143,-162,-230,-162,-160,-162,-216
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.521,-2.101,-0.619,3.49,3.244,57.909,-40.178,-0.09,9.386,4.091,-2.188,48.439,-8.298,2.555,-2.391,266.98,-3.087,0.46,4.578,2.634,-1.042,10.305,21.095,0.458,23.851,0.073,111.189,97.768,33.733,-10.915,0.776,9.929,7.635,13.319,1.25,2.275,-1.891,-3.545,7.858,15.869,19.848,0.821,-3.271,-11.858,0,-3,0,-18,39,-1,0,-42,-53,-51,-62,8,-103,-3,-4,-953,-138,-14,-4,-3,-163,0,-2,35,-177,-96,-40,-2,-219,-6,-2,-12,-162,-3,-1,-25,-253,0,-3,-2,-271,-1,-4,-5,-355,-6,-44,4,-350,-7,4,-26,-452,57,-97,-1057,-322,-168,-109,5,-294,0,-132,-26
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.695,-2.792,26.062,32.337,32.257,78.016,-26.018,7.417,9.36,49.046,54.691,-53.872,309.595,-37.239,-67.426,180.43,299.184,-167.472,21.206,65.587,-117.046,17.725,103.663,18.959,-18.246,-91.427,245.863,91.204,254.814,36.053,-4.528,-771.337,-31.55,-357.477,-251.033,-584.506,-232.222,-422.035,991.849,-489.892,16.556,-184.003,-61.001,-409.012,-24,-151,-109,-214,-5,116,-123,-707,-87,-416,241,-1015,67,-459,-619,-1270,121,114,-19,-172,-71,-153,-318,-244,-108,-265,-1470,-481,-224,-1563,-301,-331,-660,-165,-1316,-1077,-58,-690,-266,-267,-700,-49,-397,-1,-836,-1392,2999,-1918,-700,-4650,-419,-719,-839,-828,-676,-1940,-863,-352,-735,-664,-974,-7276,-698,-1816
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63,9,13,27,10,2,-1,0,29,30,52,-57,-69,49,3,-4,1,-21,-34,-60,13,-64,30,10,-136,-211,33,-104,-2,-29,61,20,-52,8,2,67,-20,46,-49,-14,-17,4,-1,-1,7,2,-7,68,48,14,18,-34,-14,-24,-142,-69,-37,82,-1,-29,0,15,-38,63
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,47.152,,,,216.921,,,,34.242,,,,59.842,30.185,134.996,50.993,-29.708,19.79,-57.165,84.151,31.836,110.331,-40.89,17.205,-2.727,82.43,-95.278,46.919,44.009,221.886,-49.92,66.563,-35.596,-92.664,456.148,120.47,255.967,256.081,374.417,316.991,330.207,61.864,158.336,-318.219,-662.531,-43.253,248.599,-239.79,-484.509,332.162,-271.196,1589.031,-381.203,-37.379,-474.973,581.277,-47.393,-404,490,378,74,460,517,279,-1199,525,-384,727,-73,310,70,402,-1263,369,516,1035,-804,55,431,606,2,231,-103,-803,-262,253,-1421,1251,-1505,1426,-61,-206,8,1143,-908,1096,178,723,-698,933,1371,643,-1241,3040,1451,1313,-4953,1589,1032,1493,-932,-626,-990,653,2114,-477,1207,3311,-7916,1309,-498
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.968,89.425,70.401,116.066,34.546,84.013,90.803,103.821,30.353,151.292,17.315,164.689,7.141,175.636,6.335,161.891,14.082,82.962,84.815,138.687,58.096,101.082,102.055,66.135,261.286,97.658,129.306,316.707,47.235,149.973,120.567,228.43,113.154,288.04,35.358,349.731,64.161,221.442,32.364,297.033,28,148,140,249,41,253,52,291,82,175,202,283,148,215,132,461,118,310,63,510,0,,88,570,150,282,177,577,298,149,98,408,171,287,71,656,314,347,118,425,133,544,103,407,97,283,78,594,123,632,112,660,206,263,652,819,214,422,807,791,210,987,252,870
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,,,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,-208.005,32.988,60.352,34.242,-83.952,46.585,14.4,59.842,22.709,130.077,-8.992,21.912,-23.14,80.359,57.2051,38.517,1.54,-108.205,-50.305,-1.093,-262.336,-25.179,62.781,-190.252,-84.828,131.795,41.747,-109.076,17.214,440.076,10.483,228.77,481.203,460.563,231.731,219.666,-166.594,521.37,275.068,150.686,-132.691,600.99,27.929,142.026,18.69,45.484,601.003,25.528,-166.184,240.812,539.453,-2.048,-390,593,467,231,438,416,671,200,414,492,533,469,321,284,815,150,614,-32,913,-141,365,266,1085,275,573,288,808,223,96,167,1398,-1018,2126,-23,1066,1055,1186,-399,1520,498,1447,-806,1433,1284,1387,74,1200,3390,1754,-535,2305,1846,2203,-322,373,1247,1553,2302,721,2169,3611,-300,1937,1381
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,-197.5645,43.2699,71.6286,48.114,-72.6868,56.8446,23.2707,75.1784,29.2628,136.656,-2.7058,31.014,-16.5928,86.956,63.5195,46.3746,7.7782,-101.8594,-44.5426,4.1294,-258.1576,-19.8378,68.1948,-185.971,-81.0852,135.5144,46.9328,-103.9099,22.4218,444.9979,15.8427,236.2581,486.5423,465.7674,237.4035,226.5399,-160.5196,528.1312,280.3316,155.8592,-130.3769,602.8575,29.5651,144.1056,20.0307,47.7748,617.3768,46.2073,-151.3327,255.5684,554.7604,18.9614,-374.0909,608.7792,482.5882,252.2793,453.3555,432.73,688.7152,221.7222,431.127,509.3874,550.2416,492.3161,337.0145,301.7416,827.3714,164.1803,622.4721,-13.2585,929.2921,-117.5283,382.6586,282.8929,1101.5401,297.721,589.8549,306.8379,828.1364,249.9204,117.0906,187.4578,1417.7246,-992.0771,2145.0248,-3.0358,1081.3637,1089.8104,1211.734,-372.2444,1546.3249,532.882,1476.9166,-780.7868,1461.5485,1317.4786,1417.7448,99.2138,1227.1058,3428.3114,1786.4359,-505.5534,2334.8909,1884.4496,2233.9287,-295.6147,399.2835,1282.8283,1579.2011,2327.1357,747.4664,2209.8235,3639.6714,-268.0541,1967.1756,1418.053
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.529,122.383,23.828,,,94.713,73.7361,,,-65.353,-33.827,,,,22.243,,,-53.62,48.066,,,454.96,99.1,252.654,433.624,,,,,,,,,,,,165.283,,,,,,,,,510,411,202,433,489,653,83,492,78,888,-74,600,64,402,209,861,3227,999,-47,387,240,1059,483,588,203,1831,349,159,-1143,1412,-807,1948,-117,-5,3744,1505,-809,1530,573,1551,-737,1337,1626,1509,-1265,4564,2172,1794,-642,2373,1980,2203,-1129,284,1346,1553,2261,656,2182,3998,-309,2048,321
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,-0.4786,0.0734,0.1382,0.0781,-0.2136,0.1128,0.034,0.1404,0.0531,0.3031,-0.0208,0.0469,-0.0531,0.1836,0.1299,0.0871,0.0035,-0.243,-0.1123,-0.0024,-0.586,-0.0561,0.1395,-0.4216,-0.1877,0.291,0.0919,-0.2397,0.0378,0.9652,0.023,0.5004,1.0515,1.0051,0.5048,0.4762,-0.3576,1.0994,0.5752,0.3161,-0.2807,1.2736,0.0594,0.3051,0.0407,0.1009,1.3491,0.0582,-0.382,0.5539,1.2439,-0.0047,-0.9018,1.368,1.0752,0.5307,1.0019,0.9459,1.5216,0.4576,0.9537,1.1267,1.2197,1.0742,0.7393,0.6536,1.8788,0.3469,1.4166,-0.0734,2.0917,-0.3228,0.8334,0.6049,2.469,0.628,1.306,0.654,1.8361,0.5082,0.219,0.3798,3.1859,-2.3252,4.8538,-0.0524,2.4293,2.4087,2.708,-0.9088,3.4645,1.136,3.2949,-1.8306,3.2579,2.92,3.1393,0.1674,2.713,7.6551,3.9598,-1.2073,5.2027,4.1652,4.9687,-0.7258,0.8407,2.8096,3.499,5.1861,1.6246,4.8865,8.1361,-0.6758,4.3637,3.1103
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.8982,119.5208,1441.5129,255.276,65.5554,50.2903,66.2701,61.9638,130.7426,292.4499,130.2891,103.6146,112.9253,124.3725,,,,,,,,,,,155.0489,35.1148,46.5491,20.4078,14.6372,14.5778,13.4497,13.6654,29.7268,25.6439,24.9442,26.3849,28.9294,28.7445,41.7499,36.6015,31.4937,106.395,32.5868,39.6199,61.9382,41.1389,47.5834,46.0136,58.9079,27.1614,29.7927,27.2097,14.8826,16.8023,13.7069,16.4221,18.6164,18.0609,21.6195,18.7754,20.0294,24.6285,21.86,27.6801,22.9826,29.732,29.2374,37.0073,47.0649,34.8227,32.1279,27.6322,28.3055,29.9576,30.5287,33.5884,50.1987,53.5423,36.5816,104.4951,26.2721,29.6164,32.6024,17.0435,24.8372,28.3902,27.2381,36.7022,29.1573,39.9256,45.1096,37.7,39.2599,30.0625,33.9174,25.9602,25.9933,26.8648,25.3468,37.0739,43.2393,42.3085,51.8212,59.8334,71.068,40.28,41.0373,37.1777,33.2815,52.4383,50.866,59.3619
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,1.4331,4.0799,,-0.7811,,2.121,3.0412,-1.5404,2.3295,3.6281,2.1557,2.5405,1.713,1.8154,1.9045,2.1419,1.7788,0.898,1.5077,,1.7422,2.0704,1.9413,1.856,0.9275,1.4335,2.4448,0.9116,1.8277,2.9713,1.4628,1.7333,1.8042,2.1338,0.6788,2.0611,3.3293,1.1032,1.8003,4.3906,2.5107,1.7415,1.6179,0.2306,2.3563,2.353,1.4606,0.6189,2.8303,1.2167,1.712,1.7202,1.2764,3.6953,1.4038,1.034,1.7767,3.0835,1.1257,-0.057,3.7197,3.3,1.5615,2.8233,2.0368,2.6438,1.4144,2.3077,2.0862,2.5031,1.9686,2.075,1.4721,2.8057,1.1987,2.649,0.7733,2.939,0.9125,2.2094,1.54,3.1501,1.208,2.2742,1.505,2.3818,1.3403,1.6896,1.4487,3.411,-0.2169,5.1248,0.9573,2.2943,1.9956,3.1344,0.1555,2.8067,1.4899,2.8383,-0.2463,2.3234,2.0902,2.4905,0.6649,2.2649,3.054,2.2702,0.04,2.732,1.7605,2.4607,0.3087,0.9069,1.3415,1.9135,2.1774,1.1836,1.7245,2.927,0.4194,1.7841,1.2566
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,3681.127,4097.6621,3619.5691,5082.2852,4029.9231,4307.3218,3896.238,6013.8032,4383.564,4688.6948,4311.4878,6182.709,4883.4082,5238.8931,4836.229,6915.874,5429.7632,5795.0059,5338.0859,7707.022,5998.0781,6592.3579,6053.8198,8811.775,6943.5122,7736.9868,6894.6079,10589.189,7637.278,8306.3086,7718.895,11134.555,8466.5527,9382.8516,8616.7471,12296.347,9198.585,10114.1699,9543.0713,13689.7305,10521.4805,11548.974,10897.2402,15139.301,11578.003,12658.077,11996.9,16709.936,12933.346,14054.576,13273.175,19875.221,14151.624,15112.016,14659.255,20477.26,15809.53,16959.886,16613.717,23099.887,16395,16843,15806,22378,17299,18742,17780,24125,19239,20875,20623,28178,21628,22967,22324,32218,23715,24871,24083,32487,25017,26306,25794,35523,26866,27454,26101,35778,27220,28170,26769,36560,28099,29766,28860,42300,31809,32995,32361,44411,35069,35396,34740,47498,37040,39072,37266,53383,43208,44769,45277,62675,50363,51904,52596,72091,54437,55266,53648,78939,57799,58442,58515,79697
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16036,16488,15477,21888,16922,18356,17385,23592,18823,20449,20188,27588,21181,22508,21849,31524,23204,24343,23552,31771,24468,25756,25233,34755,26284,26872,25517,34993,26627,27567,26151,35728,27469,29130,28216,41357,31117,32279,31624,43414,34311,34628,33964,46448,36236,38256,36451,52277,42347,43888,44376,61441,49417,50937,51612,70764,53437,54239,52604,77430,56717,57331,57392,78185
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,3272.1699,3640.1741,3220.541,4530.0059,3577.4441,3821.7939,3476.324,5350.2861,3887.116,4153.9922,3829.9231,5474.2842,4308.3691,4619.208,4283.1572,6103.751,4779.2959,5098.9922,4715.7549,6785.648,5287.7852,5788.6528,5341.7158,7752.045,6120.2012,6792.3672,6084.2461,9325.356,6713.644,7275.958,6825.6362,9782.902,7434.397,8212.0303,7583.251,10753.443,8048.897,8840.4111,8358.3232,11987.75,9220.1221,10101.977,9540.3115,13229.605,10132.487,11056.064,10503.661,14654.749,11330.171,12303.85,11635.052,17476.424,12388.958,13251.752,12877.587,17931.405,13823.511,14833.189,14548.022,20298.028,14276,14771,13776,19512,15081,16396,15494,21024,16757,18235,18067,24680,18931,20139,19543,28210,20726,21766,21038,28418,21824,23043,22554,31037,23385,23897,22687,31096,23621,24469,23162,31649,24288,25927,24970,36697,27617,28733,28131,38671,30623,30720,30233,41310,32233,34056,32249,46401,37458,39078,39415,54733,43952,45517,46355,63558,47769,48423,47175,69219,50457,51140,51173,69588
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14276,14771,13776,19512,15081,16396,15494,21024,16757,18235,18067,24680,18931,20139,19543,28210,20726,21766,21038,28418,21824,23043,22554,31037,23385,23897,22687,31096,23621,24469,23162,31649,24288,25927,24970,36697,27617,28733,28131,38671,30623,30720,30233,41310,32233,34056,32249,46401,37458,39078,39415,54733,43952,45517,46355,63558,47769,48423,47175,69219,50457,51140,51173,69588
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,408.957,457.488,399.0281,552.2793,452.479,485.5278,419.9141,663.5171,496.448,534.7026,481.5647,708.4248,575.0391,619.6851,553.0718,812.123,650.4673,696.0137,622.3311,921.374,710.293,803.7051,712.104,1059.73,823.311,944.6196,810.3618,1263.833,923.634,1030.3506,893.2588,1351.653,1032.1558,1170.8213,1033.4961,1542.904,1149.688,1273.7588,1184.748,1701.9805,1301.3584,1446.997,1356.9287,1909.696,1445.516,1602.013,1493.239,2055.187,1603.175,1750.726,1638.123,2398.797,1762.666,1860.264,1781.668,2545.855,1986.019,2126.697,2065.695,2801.859,2119,2072,2030,2866,2218,2346,2286,3101,2482,2640,2556,3498,2697,2828,2781,4008,2989,3105,3045,4069,3193,3263,3240,4486,3481,3557,3414,4682,3599,3701,3607,4911,3811,3839,3890,5603,4192,4262,4230,5740,4446,4676,4507,6188,4807,5016,5017,6982,5750,5691,5862,7942,6411,6387,6241,8533,6668,6843,6473,9720,7342,7302,7342,10109
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,0,,,0,,,,,,,,,,0,,0,0,0,,,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
