Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Exxon Mobil Corp (XOM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2000,,06/30/2000,,09/30/2000,,12/31/2000,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
    United States,,873,0.0958603272208191,1099,0.111234817813765,1118,0.0896407953816549,5541,0.338485033598045,1292,0.111388912837314,1092,0.0897509657269664,888,0.0822374513798852,843,0.103460972017673,1209,0.120887911208879,1553,0.131132314447353,636,0.0617595649640707,1142,0.115692432377672,1660,0.114003159123687,1447,0.11348129558466,1610,0.115304733939698,910,0.0826896865061336,1598,0.0990209443549386,2040,0.112094071102808
  Upstream,,4699,0.51597672120347,5167,0.522975708502024,6569,0.526699807568954,5776,0.352840562003665,4991,0.430295715147858,5177,0.42549519191255,4236,0.392294869420263,2920,0.358370152184585,3861,0.386061393860614,4604,0.388752849784683,3861,0.374927170324335,4838,0.490122581298754,5865,0.402788270036399,4836,0.379264371421849,4953,0.354723197020698,5607,0.5094956837801,5982,0.370677903085884,6706,0.368481784713446
    Non-U.S.,,3218,0.353354562424509,3700,0.374493927125506,4507,0.361369467607441,4229,0.258338423946243,3427,0.29545650487111,3350,0.275334922330895,2820,0.261159473976662,2725,0.334437898870889,2748,0.274772522747725,3298,0.278476737313181,2584,0.250922509225092,3514,0.355992300678756,4265,0.292905707025616,3581,0.280840718375029,3674,0.263123970493447,4262,0.387278509768287,4482,0.277729582352212,5075,0.278861475905269
    United States,,1481,0.162622158778961,1467,0.148481781376518,2062,0.165330339961514,1547,0.0945021380574221,1564,0.134839210276748,1827,0.150160269581655,1416,0.131135395443601,195,0.0239322533136966,1113,0.111288871112889,1306,0.110276112471502,1277,0.124004661099243,1324,0.134130280619998,1600,0.109882563010782,1255,0.0984236530468199,1279,0.0915992265272506,1345,0.122217174011813,1500,0.0929483207336721,1631,0.0896203088081763
  Chemical Prime Product,,1117,0.122652904359284,1155,0.116902834008097,1405,0.112652341244387,1626,0.0993280390959072,1284,0.110699198206742,1085,0.0891756390235884,930,0.0861270605667716,1094,0.134266077565047,1041,0.104089591040896,1360,0.114835767964198,1353,0.131384734899981,1398,0.141626988147098,1572,0.107959618158094,1552,0.121715943847541,1672,0.119745040464084,1844,0.167560199909132,1980,0.122691783368447,2245,0.123358426287159
    United States,,671,0.0736795871307785,697,0.0705465587044534,851,0.0682328415651058,686,0.041905925473427,698,0.0601776015173722,646,0.053094435768883,390,0.0361177995925171,452,0.055473735886107,541,0.0540945905409459,676,0.0570801317233809,727,0.0705962322781123,722,0.0731435518184581,734,0.0504086257811963,776,0.0608579719237707,891,0.0638115018262551,1002,0.0910495229441163,1016,0.0629569959102739,1220,0.0670366503654047
    Non-U.S.,,446,0.0489733172285055,458,0.0463562753036437,554,0.0444194996792816,940,0.0574221136224801,586,0.0505215966893698,439,0.0360812032547054,540,0.0500092609742545,642,0.0787923416789396,500,0.04999500049995,684,0.0577556362408174,626,0.0607885026218683,676,0.0684834363286394,838,0.0575509923768972,776,0.0608579719237707,781,0.0559335386378285,842,0.0765106769650159,964,0.0597347874581733,1025,0.0563217759217539
  All Other Corporate,,30,,37,,53,,61,,51,,43,,48,,36,,66,,76,,88,,39,,77,,77,,83,,73,,88,,79,
Revenue Including Intersegment Revenue,,61719,1.0,64853,1.0,70022,1.0,79855,1.0,67726,1.0,67311,1.0,61978,1.0,55748,1.0,52659,1.0,61891,1.0,63580,1.0,65464,1.0,74826,1.0,68635,1.0,72806,1.0,73062,1.0,82286,1.0,24068,1.0
  Downstream,,46709,0.759953142541041,49354,0.764017461840924,52483,0.752908603153199,60332,0.758244520410215,49981,0.741019140387552,51794,0.772237960339943,48738,0.789675788655033,44667,0.809639471442296,40447,0.769188346265024,47780,0.773039088791095,50196,0.790749696750106,49306,0.757097888675624,56298,0.753251271073053,52161,0.760919037199125,56355,0.775033350294995,54716,0.749606126614881,62193,0.756707101923615,10755,0.445175710915187
    Non-U.S.,,33510,0.545206058929763,34155,0.528731539676151,37320,0.53538382085013,39182,0.49243414437965,35960,0.533143560319649,36327,0.541628149694349,34775,0.563440755683015,33015,0.598433903097754,29670,0.564240073026016,33585,0.54337626197256,36092,0.568565982450889,34977,0.537074856046065,40440,0.541075729194541,37489,0.546885485047411,40476,0.556654243395266,39125,0.53601030235776,44763,0.544634926815024,7808,0.323192185106999
    United States,,13199,0.214747083611278,15199,0.235285922164773,15163,0.217524782303069,21150,0.265810376030565,14021,0.207875580067903,15467,0.230609810645594,13963,0.226235032972018,11652,0.211205568344541,10777,0.204948273239008,14195,0.229662826818535,14104,0.222183714299217,14329,0.220023032629559,15858,0.212175541878512,14672,0.214033552151714,15879,0.218379106899729,15591,0.213595824257121,17430,0.212072175108591,2947,0.121983525808187
  Upstream,,9498,0.154531994858695,9674,0.149756958419765,11315,0.162322291878864,13167,0.165481097928816,11774,0.174561520556272,9996,0.149038318175041,8198,0.132827816393655,5923,0.107361017962986,7602,0.144568690095847,8409,0.136050349469324,7592,0.119598607413475,10104,0.155147792706334,11706,0.156622959593257,9899,0.144405543398979,9749,0.134075062230963,11282,0.154562766292658,12163,0.147988173599873,10552,0.436773045241939
    Non-U.S.,,7021,0.114231326163708,7012,0.108548252267872,7912,0.113503665342075,9483,0.119181077820229,7924,0.117481356284007,6754,0.100700760399583,5811,0.0941525300150683,4722,0.0855915459769073,5671,0.10784649322988,6101,0.098708904996117,5359,0.0844216197482632,7601,0.116714011516315,8338,0.111560074926412,7204,0.10509117432531,7029,0.0966677210402541,8599,0.11780581699615,9177,0.111657277737897,7684,0.318059522331222
    United States,,2477,0.0403006686949872,2662,0.0412087061518932,3403,0.0488186265367897,3684,0.0463000201085864,3850,0.057080164272265,3242,0.0483375577754585,2387,0.0386752863785868,1201,0.0217694719860791,1931,0.0367221968659668,2308,0.0373414444732073,2233,0.0351769876652121,2503,0.0384337811900192,3368,0.0450628846668451,2695,0.0393143690736689,2720,0.0374073411907087,2683,0.0367569492965079,2986,0.0363308958619767,2868,0.118713522910717
  Chemical Prime Product,,5256,0.0855148626002636,5570,0.0862255797393108,5909,0.0847691049679372,6069,0.0762743816609692,5694,0.0844193390561758,5280,0.0787237214850156,4783,0.0774963949513116,4579,0.0829995105947181,4535,0.0862429636391298,5619,0.0909105617395806,5691,0.0896516958364184,5715,0.0877543186180422,6736,0.0901257693336901,6490,0.0946754194018964,6609,0.0908915874740418,6995,0.0958311070924609,7833,0.0953047244765114,2852,0.118051243842874
