In Millions of USD except Per Share,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
    International,,2721,0.539773854393969,2702,0.570523648648649,2860,0.582484725050917,-3051,0.567416775153431,3889,0.590584662110858,3852,0.558908879860708,3900,0.589569160997732,4312,0.592877767083734,-5770,0.576769292283087,11899,0.592609193684944,3842,0.591258848876577,5073,0.618055555555556,-3153,0.688427947598253,7579,0.579212839128773,5770,0.576769292283087,8399,0.612529171528588,6840,0.579121158242316,3195,0.549724707501721,3153,0.638646951590034,4677,0.640246406570842,4866,0.592403214024836,5781,0.608526315789474,5705,0.607302533532042,5813,0.612216956292786,5623,0.609341135674036,6693,0.622604651162791,8453,0.650781430441142,9197,0.637573656845754,8608,0.645470905818836,8754,0.640943037047884,9226,0.654697700823162,-8022,0.62471770111362,-8386,0.657467659741278,8460,0.645210494203783,8356,0.64906012117446,7449,0.616281955820303,8715,0.634510374954496,8514,0.623462214411248,5762,0.477619363395225,6597,0.466845941546954
    United States,,1975,0.391787343780996,1784,0.376689189189189,1816,0.369857433808554,-2052,0.381625441696113,2384,0.362034927866363,2399,0.348084735925711,2283,0.345124716553288,2539,0.349099408772171,-3851,0.384946021591363,7027,0.349967627869914,2287,0.351954447522315,2700,0.328947368421053,-1591,0.347379912663755,5047,0.385708826901032,3851,0.384946021591363,4782,0.348745624270712,4461,0.377698755397511,2048,0.35237439779766,1596,0.323273242860036,2315,0.316906228610541,3014,0.366934502069637,3372,0.354947368421053,3473,0.369704066425378,3370,0.35492364402317,3299,0.357498916341569,3697,0.343906976744186,4265,0.328354761721457,4897,0.33948006932409,4397,0.329709058188362,4556,0.333577390540343,4597,0.326213454442237,-4444,0.346078965812631,-3985,0.312426499411995,4203,0.320546064673581,4194,0.325772875563151,4217,0.348887234218582,4405,0.320713505642519,4049,0.296499707088459,3932,0.325928381962865,4260,0.301464864482344
  Downstream,,80,0.0158698670898631,42,0.00886824324324324,53,0.0107942973523422,-48,0.00892691091686814,89,0.0135155656795748,359,0.0520893789901335,215,0.0325018896447468,136,0.0186992987762959,-135,0.0134946021591363,497,0.0247522286966482,140,0.0215450907971684,147,0.0179093567251462,-61,0.0133187772925764,181,0.0138326327856324,135,0.0134946021591363,179,0.0130542590431739,170,0.0143933621200576,85,0.0146249139710943,39,0.00789953413003848,52,0.00711841204654346,44,0.00535670805941076,50,0.00526315789473684,50,0.00532254630615286,47,0.00494997367035282,58,0.00628521889900303,53,0.00493023255813954,40,0.00307952883208869,54,0.00374350086655113,42,0.00314937012597481,31,0.0022697320251867,26,0.0018450184501845,-32,0.00249201775562651,-40,0.00313602508820071,31,0.00236424649176327,27,0.00209725027186578,37,0.00306114006784148,207,0.0150709865307608,627,0.0459138840070299,2050,0.169927055702918,2856,0.202108838723374
    International,,35,0.00694306685181512,0,,9,0.00183299389002037,0,,1,0.000151860288534548,4,0.000580383052814858,40,0.00604686318972033,9,0.00123745359549017,-19,0.00189924030387845,57,0.00283878679217092,6,0.000923361034164358,14,0.0017056530214425,-16,0.00349344978165939,2,0.00015284677111196,19,0.00189924030387845,44,0.00320886814469078,44,0.0037253407840149,15,0.00258086717136958,13,0.00263317804334616,21,0.00287474332648871,25,0.00304358412466521,28,0.00294736842105263,22,0.00234192037470726,26,0.00273828330700369,27,0.002925877763329,18,0.00167441860465116,20,0.00153976441604435,31,0.00214904679376083,22,0.0016496700659868,8,0.000585737296822375,11,0.000780584728924212,-22,0.00171326220699322,-28,0.00219521756174049,19,0.00144905430140329,16,0.00124281497592046,26,0.00215107139902374,197,0.0143429195485985,620,0.0454012888107791,2045,0.169512599469496,2849,0.201613473922582
    United States,,45,0.00892680023804801,42,0.00886824324324324,44,0.00896130346232179,-48,0.00892691091686814,88,0.0133637053910402,355,0.0515089959373186,175,0.0264550264550265,127,0.0174618451808057,-116,0.0115953618552579,440,0.0219134419044773,134,0.020621729763004,133,0.0162037037037037,-45,0.00982532751091703,179,0.0136797860145204,116,0.0115953618552579,135,0.00984539089848308,126,0.0106680213360427,70,0.0120440467997247,26,0.00526635608669232,31,0.00424366872005476,19,0.00231312393474556,22,0.00231578947368421,28,0.0029806259314456,21,0.00221169036334913,31,0.00335934113567404,35,0.00325581395348837,20,0.00153976441604435,23,0.00159445407279029,20,0.001499700059988,23,0.00168399472836433,15,0.00106443372126029,-10,0.000778755548633284,-12,0.000940807526460212,12,0.000915192190359976,11,0.000854435295945316,11,0.000910068668817738,10,0.000728066982162359,7,0.000512595196250732,5,0.000414456233421751,7,0.000495364800792584
  All Other,,185,0.0366990676453085,130,0.0274493243243243,97,0.019755600814664,-133,0.0247349823321555,140,0.0212604403948367,170,0.0246662797446315,124,0.018745275888133,181,0.0248865667537467,-151,0.015093962415034,369,0.0183774092335276,135,0.0207756232686981,184,0.0224171539961014,299,-0.0652838427947598,173,0.0132212457011846,151,0.015093962415034,241,0.0175758459743291,237,0.0200660401320803,375,0.0645216792842395,149,0.0301802714198906,261,0.0357289527720739,290,0.0353055758461164,297,0.0312631578947368,166,0.0176708537364275,265,0.0279094260136914,248,0.0268747290853923,307,0.0285581395348837,231,0.0177842790053122,277,0.0192027729636049,289,0.0216706658668266,317,0.0232098403865866,243,0.0172438262844167,-343,0.0267113153181216,-344,0.0269698157585261,418,0.0318791946308725,297,0.0230697529905235,384,0.0317696698932738,408,0.0297051328722242,466,0.034124194493263,320,0.026525198938992,418,0.0295803552473286
    United States,,110,0.0218210672485618,125,0.0263935810810811,94,0.0191446028513238,-127,0.023619118467547,131,0.0198936977980258,162,0.0235055136390017,120,0.018140589569161,173,0.0237866080021999,-146,0.014594162335066,355,0.0176801633547487,131,0.0201600492459218,179,0.021807992202729,286,-0.0624454148471616,164,0.0125334352311807,146,0.014594162335066,235,0.0171382730455076,230,0.0194733722800779,360,0.0619408121128699,145,0.0293700627911687,253,0.0346338124572211,281,0.0342098855612369,285,0.03,159,0.0169256972535661,254,0.0267509215376514,239,0.0258994364976159,295,0.0274418604651163,222,0.0170913850180922,266,0.0184402079722704,278,0.0208458308338332,306,0.0224044516034559,231,0.0163922793074085,-332,0.025854684214625,-333,0.0261074088592709,404,0.0308114704087858,292,0.0226813733105484,375,0.0310250682551502,400,0.0291226792864944,457,0.033465143526655,315,0.0261107427055703,411,0.029084990446536
    International,,75,0.0148780003967467,5,0.00105574324324324,3,0.000610997963340122,-6,0.00111586386460852,9,0.00136674259681093,8,0.00116076610562972,4,0.000604686318972033,8,0.00109995875154682,-5,0.000499800079968013,14,0.000697245878778824,4,0.000615574022776239,5,0.00060916179337232,13,-0.00283842794759825,9,0.000687810470003821,5,0.000499800079968013,6,0.00043757292882147,7,0.000592667852002371,15,0.00258086717136958,4,0.000810208628721896,8,0.00109514031485284,9,0.00109569028487947,12,0.00126315789473684,7,0.000745156482861401,11,0.00115850447604002,9,0.000975292587776333,12,0.00111627906976744,9,0.000692893987219955,11,0.000762564991334489,11,0.000824835032993401,11,0.000805388783130766,12,0.000851546977008232,-11,0.000856631103496612,-11,0.000862406899255194,14,0.00106772422208664,5,0.000388379679975144,9,0.000744601638123604,8,0.000582453585729887,9,0.000659050966608084,5,0.000414456233421751,7,0.000495364800792584
  Chemicals,,80,0.0158698670898631,78,0.0164695945945946,84,0.0171079429735234,-93,0.017295889901432,83,0.0126044039483675,112,0.016250725478816,93,0.0140589569160998,105,0.014436958614052,-97,0.00969612155137945,287,0.0142935405149659,94,0.0144659895352416,104,0.0126705653021443,-74,0.0161572052401747,105,0.00802445548337791,97,0.00969612155137945,111,0.0080950991831972,103,0.00872068410803488,109,0.0187543014452856,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,28,0.00555445348145209,25,0.00527871621621622,32,0.0065173116089613,-32,0.00595127394457876,33,0.00501138952164009,34,0.00493325594892629,38,0.00574452003023432,44,0.00604977313350749,-39,0.0038984406237505,114,0.00567757358434185,42,0.00646352723915051,38,0.00462962962962963,-28,0.00611353711790393,34,0.00259839510890332,39,0.0038984406237505,40,0.0029171528588098,43,0.00364067394801456,32,0.00550584996558844,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
