Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
Norfolk Southern Corp (NSC US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
    Agriculture/Consumer/Government,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,,-1,,—,,—,,—,,—,,—,,—,,—,
  Coal,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-16,,-16,,16,,-1,,-12,,-37,,15,,4,,-1,
  Intermodal,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,5,,7,,-4,,-5,,3,,-5,,-2,
    International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6,,7,,2,,6,,—,,—,,—,,—,,8,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-3,,-3,,7,,8,,—,,—,,—,,—,,-8,
Airlines- Fuel Price per Gallon/Liter,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Railroad Operation,,—,,9100,,14160,,18820,,20990,,30480,,16900,,22560,,30850,,31690,,30930,,29030,,17430,,14260,,17380,,21800,,19980,,13580,,19430,,36320,,29010,
Cargo Tonnes,,172326000,1.0,181153000,1.0,186653000,1.0,190567000,1.0,185965000,1.0,194228000,1.0,157520000,1.0,170831000,1.0,177880000,1.0,156109000,1.0,150070000,1.0,141831000,1.0,119981000,1.0,99677000,1.0,115579000,1.0,114644000,1.0,101819000,1.0,64386000,1.0,73454000,1.0,76664000,1.0,75892000,1.0
  Coal,,172326000,1.0,181153000,1.0,186653000,1.0,190567000,1.0,185965000,1.0,194228000,1.0,157520000,1.0,170831000,1.0,177880000,1.0,156109000,1.0,150070000,1.0,141831000,1.0,119981000,1.0,99677000,1.0,115579000,1.0,114644000,1.0,101819000,1.0,64386000,1.0,73454000,1.0,76664000,1.0,75892000,1.0
    Export,,12312000,0.0714459802931653,16583000,0.0915414042273658,14531000,0.07785034261437,12409000,0.0651162058488616,15564000,0.0836931680692603,23069000,0.118772782503038,17885000,0.113541137633316,22750000,0.133172550649472,28461000,0.160001124353497,28304000,0.181309213434203,28631000,0.190784300659692,23218000,0.163701870536061,16193000,0.134963035814004,14608000,0.146553367376626,26460000,0.228934321978906,28046000,0.2446355674959,23324000,0.229073159233542,18900000,0.293542074363992,24886000,0.338797070275274,25887000,0.337668266722321,31005000,0.40854108469931
    Utility,,129904000,0.753827048733215,134085000,0.740175431817304,142522000,0.763566618270266,148078000,0.777039046634517,142734000,0.767531524749281,144451000,0.743718722326338,120278000,0.763572879634332,120737000,0.706762824077597,122004000,0.685878120080954,101636000,0.651057914662191,97146000,0.647337908975811,93884000,0.661942734663085,81137000,0.676248739383736,65033000,0.652437372713866,67899000,0.587468311717527,65688000,0.572973727364712,60278000,0.592011314194797,32479000,0.504441959432175,33169000,0.451561521496447,35705000,0.465733590733591,30419000,0.400819585727086
    Domestic Metallurgical,,20486000,0.118879333356545,20686000,0.11419076692078,20076000,0.107557874772974,20878000,0.109557268572208,17873000,0.096109482967225,18155000,0.0934726198076487,11848000,0.0752158456069071,19771000,0.115734263687504,19702000,0.110760062963796,18793000,0.120383834372137,16905000,0.112647431198774,16130000,0.113726900325035,14450000,0.120435735658146,13884000,0.139289906397664,15675000,0.135621522941019,15500000,0.135201144412268,13562000,0.133197143951522,9441000,0.146631255241823,11804000,0.160699213112969,11307000,0.147487738703955,11096000,0.146207768934802
