Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Caterpillar Inc (CAT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
    Construction & Mining Products,,1858,0.499731038192577,2052,0.510320815717483,1783,0.475593491597759,1637,0.466780724265754,1615,0.440654843110505,1893,0.457688588007737,1526,0.396569646569647,1713,0.458389082151458,1650,0.428126621691749,2349,0.426315789473684,1740,0.409315455187015,2188,0.434385546952551,2821,0.432801472844431,3110,0.424399563318777
    Power Products,,1107,0.297740720817644,1158,0.287988062670977,1283,0.34222459322486,1229,0.350441973196464,1129,0.308049113233288,1194,0.288684719535783,1377,0.357848232848233,1004,0.268664704308269,1197,0.310586403736378,1605,0.291288566243194,1445,0.339920018819101,1653,0.32817153067302,1835,0.281528076096962,2169,0.295987991266376
    EAME Marketing,,198,0.0532544378698225,186,0.0462571499626958,147,0.0392104561216324,138,0.039349871685201,461,0.125784447476126,567,0.137088974854932,456,0.118503118503119,459,0.122825796093123,517,0.134146341463415,650,0.117967332123412,541,0.127264173135733,638,0.126662696049236,841,0.129027308990488,941,0.128411572052402
    All Other,,469,0.126143087681549,502,0.124844566028351,450,0.120032008535609,421,0.120045623039635,367,0.100136425648022,400,0.0967117988394584,411,0.106808731808732,477,0.127642493979128,403,0.104566683964712,632,0.11470054446461,407,0.0957421783109857,417,0.0827873734365694,600,0.0920527769254373,646,0.0881550218340611
    Latin America Marketing,,34,0.00914470145239376,36,0.00895299676697339,36,0.00960256068284876,39,0.0111206159110351,57,0.0155525238744884,34,0.00822050290135396,38,0.00987525987525988,53,0.0141824993310142,53,0.0137519460300986,122,0.0221415607985481,66,0.0155257586450247,74,0.0146912844947389,225,0.034519791347039,226,0.0308406113537118
    Asia/Pacific Marketing,,3,0.000806885422270038,3,0.000746083063914449,4,0.0010669511869832,2,0.000570287995437696,1,0.000272851296043656,1,0.000241779497098646,0,,1,0.000267594327000268,1,0.000259470679813181,87,0.0157894736842105,2,0.000470477534697718,1,0.000198530871550526,110,0.0168763424363302,144,0.0196506550218341
    North America Marketing,,49,0.0131791285637439,84,0.0208903257896046,46,0.0122699386503067,40,0.0114057599087539,35,0.00954979536152797,47,0.0113636363636364,40,0.0103950103950104,30,0.00802782981000803,33,0.00856253243383498,65,0.0117967332123412,50,0.011761938367443,66,0.0131030375223347,86,0.0131942313593127,91,0.0124181222707424
  Financing & Insurance Services,,0,,0,,0,,1,0.000285143997718848,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.00013646288209607
Revenue Including Intersegment Revenue,,8552,1.0,9549,1.0,8865,1.0,8711,1.0,8092,1.0,9500,1.0,8978,1.0,9185,1.0,8744,1.0,11474,1.0,9857,1.0,11574,1.0,13017,1.0,15029,1.0
  Machinery & Engines,,—,,—,,—,,—,,7678,0.948838358872961,9049,0.952526315789474,8532,0.950323011806638,8717,0.949047359825803,8269,0.94567703568161,10970,0.956074603451281,9344,0.947955767474891,11046,0.954380508035251,12485,0.959130367980333,14383,0.957016434892541
