Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
CSX Corp (CSX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/26/2003,,12/31/2004,,12/30/2005,,12/29/2006,,12/28/2007,,12/26/2008,,12/25/2009,,12/31/2010,,12/30/2011,,12/28/2012,,12/27/2013,,12/26/2014,,12/25/2015,,12/30/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
    Domestic,,784,0.10539050947708,501,0.0623134328358209,738,0.085634718032026,786,0.0821660045996237,807,0.0804586241276171,927,0.0823633940470902,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Trucking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,410,0.0327423734227759,966,0.0650373661886488,882,0.0601760251074572
  Other,,35,0.00470493345879823,84,0.0104477611940299,104,0.0120677651427245,181,0.0189211791762492,242,0.0241276171485543,255,0.0226565970679698,255,0.0282048445968366,292,0.0274539300488906,298,0.0253768202333305,323,0.0274589815523251,397,0.0330118077498753,422,0.0333096534848844,478,0.0404707476081619,368,0.0332460023489023,434,0.0380434782608696,582,0.0475102040816327,518,0.0433944877272346,408,0.0385523953510347,744,0.0594154288452324,908,0.0611324311586885,578,0.0394350822132769
  Adjustment,,127,,—,,—,,—,,—,,—,,—,,—,,52,,-7,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Surface Transportation,,7439,1.0,8040,1.0,8618,1.0,9566,1.0,10030,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rail,,6182,0.831025675494018,6694,0.832587064676617,7256,0.841958691111627,8154,0.852393895044951,8674,0.864805583250249,9789,0.86974677920924,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Sales Volume,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5892000,1.0,6253000,1.0,6218000,1.0,6142000,1.0
  Intermodal,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2720000,0.461642905634759,2976000,0.47593155285463,2963000,0.476519781280154,2766000,0.450341908173233
  Merchandise,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2535000,0.430244399185336,2571000,0.411162641931873,2558000,0.411386297844966,2621000,0.426733962878541
    Chemicals,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,664000,0.112695179904956,659000,0.105389413081721,641000,0.103087809585076,642000,0.104526212959948
