Total Assets,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-810.5,-46.1,-203.6,103,-255,-144,-352,5420,-21,-186,-917,-436,-1484,-1310,-301,539,72,-293,-4110,-1027,-1345,-1969,-1041,2372,4407,7126,1622,-1642,448,-4227,-909,8,-74,361,-1517,604,-5380,394,-9395,280,-772,-262,-112,342,-3992,-473,-1412,676,1023,133,62,-38,-210,69,-662,327,122,9302,-9409,48,-653,317,221,-68,-1225,-945,644,316,214,48,128,-54,7,34,-20,144,-1191,9109,6275,-2614,-7319,1368,1437,92,-10678,-930,-12523,-367,603,1046,-10679,3228,-1756,11984,-5755,161,4328,1220,2928,-305,-41062,-4138,-3370,14543,10592,8312,5348,602,17118,75508,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-596,-724.1,-1140.4,-70.7,180,6113,-366,6786,1304,-10853,-1052,-1997,-1373,-912,-255,269,-739,-258,-9385,424,-730,-341,-460,950,5156,8147,1481,-1017,2564,-2582,-920,-1405,-1656,-2012,-4705,-5468,-6138,-1855,-11762,-2315,-2748,-2732,-4919,-3029,-13342,-6082,-2597,-10045,-5427,-4214,-1488,-32,-15371,-1529,-1250,-127,2861,332,-20979,-1403,-5541,-1272,-653,-3108,-3956,-18507,-3001,-2071,-3855,-969,-6142,-9360,-8132,-5612,-11104,-3153,-43860,-6396,-24919,-9050,-22532,-5465,6851,-19863,22308,122,-33461,-21818,-10201,7293,18364,-21077,-27804,-14747,-11855,16649,11196,-22629,23514,17311,-58566,-15607,-7336,-6092,-7919,10655,-28048,-7351,-3203,-7448,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.2,-14.6,-78.1,112.1,-142,62,-18,156,70,444,-125,115,14,150,-183,545,856,140,5832,-2782,-613,-2856,-476,838,-1122,-336,-589,2722,-102,-625,813,-212,3548,1365,368,282,1525,-101,1099,1307,386,485,1007,-899,1173,114,1556,-425,946,517,-699,-121,7279,376,635,-70,-2046,109,1989,-409,1398,-720,1077,-513,654,717,1480,1134,961,568,897,1570,2928,451,671,-14,11588,211,428,452,2038,-2415,-1382,482,-3692,-1571,942,198,196,2627,2834,420,1554,2579,99,2559,-1637,958,262,-335,6190,1072,-886,1795,-5092,2112,-19,1912,-4576,1360,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-928,-418,-1585,-548,-674,-2043,-1741,-4998,-8973,-8994,-6580,-5980,-7632,-6869,-3180,-1011,-1055,-2608,-4450,-1400,-1128,-2193,-2562,-356,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-928,-418,-1585,-548,-674,-2043,-1741,-4998,-8973,-8994,-6580,-5980,-7632,-6869,-3180,-1011,-1055,-2608,-4450,-1400,-1128,-2193,-2562,-356,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.5,-0.3,-0.3,0,0,3,0,-192,216,-65,-96,49,-116,-42,53,-14,8,23,119,-37,56,87,77,69,169,-998,-23,72,-85,-62,169,31,-34,47,21,94,75,12,189,21,363,126,-123,53,-77,-186,-184,-21,-366,10,-33,-85,11,25,-46,-1513,-256,-41,-50,-55,36,-57,-1972,-597,-2479,12,40,-1272,-18,40,-15,-110,-73,-69,19,25,-71,15,143,-23,-69,-16,-13,-102,-151,-24,-66,-289,10,-62,-156,-159,-55,18,-233,-132,-207,-416,60,-367,-1097,23,-538,-380,-423,-3489,145,-2664,-150,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.5,-15.1,-78.4,111.8,-142,62,-15,156,-122,660,-190,19,63,34,-225,598,842,148,5855,-2663,-650,-2800,-389,915,-1053,-167,-1587,2699,-30,-710,751,-43,3579,1331,415,303,1619,-26,1111,1496,407,848,1133,-1022,1226,37,1370,-609,925,151,-689,-154,7194,387,660,-116,-3559,-147,1948,-459,1343,-684,1020,-2485,57,-1762,1492,1174,-311,550,937,1555,2818,378,602,5,11613,140,443,595,2015,-2484,-1398,469,-3794,-1722,-10,-286,-1678,2089,2098,-1779,-346,-2474,-8856,-6668,-8349,-5229,-7786,-7144,2643,-1036,-1918,-1351,-9922,289,-4636,-136,-9802,854,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-128,168,56,5,-24,-122,127,-55,147,47,-83,-109,75,-68,97,19,-59,19,67,37,0,21,-194,-116,-207,130,-37,-51,7,-5,-12,-162,61,122,39,26,92,-133,-68,-31,15,11,-121,120,-184,44,-200,432,-61,-51,14,103,53,-326,-296,175,47,-23,-34,126,-44,-97,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,194.48,,,,,,,,,,,,465.344,,,,298,,,,,-220.4,-62.6,-530.8,522,7,6075,-236,7585,1017,-9621,-822,-1311,-1034,-211,460,1931,836,1771,-1850,-19,-1380,-3141,1715,3758,6744,8952,2301,3919,4954,-5664,2816,410,3282,1053,-1730,-1372,-2160,-789,-2769,1494,2284,923,133,-2852,-8763,-4407,2210,-7830,12,-1040,2408,3639,-4888,2283,6508,3766,2951,6713,-13115,2523,527,2835,7115,-784,2097,-13394,6384,6107,762,6507,6925,-68,442,2876,-327,4137,-24786,1549,-14655,-1067,-2161,500,16369,-11139,26162,6802,-23075,-11290,-4287,18578,30189,-10659,-21536,-6509,-9150,20959,12092,-17656,27809,18065,-49044,-8438,2132,3043,-9101,23355,-19049,7039,-2483,6911,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,783,418,40,13,628,396,-1037,461,402,41,1,27,628,444,819,45,1319,710,1235,53,1115,503,950,1062,994,539,100,289,2038,3600,-1257,258,1109,1729,2799,201,1720,1000,609,225,1108,528,171,310,2009,711,517,231,571,550,1533,199,1179,1518,1799,241,2483,1304,1373,283,1868,1050,813,248,880,1447,1960,231,897,1109,2482,26,1029,719,-1488,289,2069,1619,377,464,735,3196,1020,595,385,1735,2286,256,2252,1494,1410,336,1615,1523,762,312,2650,2806,1997,339,1820,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,0,742,2675,3736,-16,760,217,357,362,212,1332,3,1424,1570,216,19,160,179,37,191,33,1598,565,5463,296,10137,-11227,870,348,410,-26,4873,551,436,190,530,-309,-146,33,14911,452,13,548,131,41,7812,701,339,130,1362,1357,92,62,676,5601,700,-24,393,3755,3995,505,302,100,30185,255,375,584,1599,122,919,68,112,261,148,2758,262,318,152,951,26,56,29,2421,47,57,100,252,34,69,80,10411,7629,887,48,40,327,15,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,,,,667,276,667,940,1064,733,1881,1680,1409,3427,-108,2564,965,2641,972,2407,1235,2420,-2278,,,1056,1350,2195,2650,1612,9,4741,883,3397,1483,2554,-257,2312,141,1774,887,3269,1595,3359,2686,2143,2001,5396,2375,2020,4519,3770,1976,2490,2440,4037,2208,3848,4305,4857,3607,2134,3606,8245,2840,2516,4591,5245,3057,4611,4509,6548,4025,15940,5533,7615,4932,4967,4795,6753,6348,4426,5589,5456,7237,3830,7449,8432,7050,6787,7109,8486,3763,3736,4788,7608,5754,4980,7749,8366,8692,6173,9067,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.8852,,,,689.1763,297.2667,688.9443,964.7718,1088.2009,771.7461,1916.7206,1837.2747,1429.543,3556.7986,-136.1102,2685,1083.1564,2731.3294,1055.9184,2475.9264,1359.44,2577.6297,-2256.5603,,,1076.8768,1377.1681,2223.1641,2673.2156,1759.6543,214.3709,4957.0195,1101.2843,3604.6277,1693.5654,2783.5458,-15.7058,2547.1789,368.5571,2052.2743,1119.7357,3681.1677,1943.1966,3689.5584,3025.7536,2580.5963,2454.1416,5855.5262,2830.513,2492.735,4964.1054,4249.4202,2459.8106,2961.6905,2927.2754,4509.6024,2666.9229,4319.7837,4767.4716,5350.09,4109.6596,2699.6996,4202.8362,8816.4159,3439.3734,3114.7806,5270.3481,5830.6207,3664.2315,5638.8285,5010.1685,7274.6811,4569.4804,16716.4263,6598.8346,8535.4794,,,5560.5113,7520.7734,,5204.9783,6380.6896,6256.7782,8025.712,4714.3093,8196.2624,9233.8191,7891.1209,7642.7269,7965.2274,9386.3576,4569.8764,4583.9186,5868.2717,,6693.5243,5953.1861,8744.104,9391.9266,9718.4436,7248.1886,10050.6259,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,,,,782,290,817,757,1609,1589,,,,2814,-2964,2088,1803,,,,3957,2318,,,,4604,,,2932,3137,-92,5840,2190,3783,1968,3561,-1156,3485,255,3330,462,4215,2112,2660,2565,9422,2377,6031,2305,-26,4628,5759,1567,3888,1720,5114,1695,4502,5022,6337,4741,3095,4174,9142,4410,5444,5042,5916,3043,16199,4720,6976,4477,17978,3118,6233,5414,1275,3224,7695,6546,4622,8216,8290,7657,5384,10028,8531,9609,5150,8067,8748,3428,9926,5860,6722,7549,-112,9861,8347,10604,1597,10427,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,0.6625,0.298,1.0565,2.7366,1.105,1.3323,2.1207,2.3142,4.7601,1.2795,9.2071,0.9723,2.1585,1.352,11.9717,0.4539,0.0376,1.182,2.4962,5.089,2.2615,1.0286,1.6329,1.107,0.2084,-0.0084,1.8799,1.1451,1.7233,2.4356,1.8767,0.4943,-0.0429,-0.085,0.3973,1.134,-0.305,1,1,27.7917,0.342,1.0422,1.1794,0.9815,1.2096,2.4334,,23.3684,3.7413,-0.1033,2.2472,1.5988,1.5266,0.4361,1.3328,0.9376,1.5613,-1.7769,2.6253,0.5565,0.9971,1.1967,4.3686,0.7394,1.0199,0.4653,2.8434,0.6455,1.7823,0.9003,0.8608,0.4069,3.567,0.5688,3.2517,24.1368,,0.8665,1.3987,1.25,0.9119,1.8023,2.3322,0.9285,2.3177,1.8967,2.6335,1.4744,1.433,1.5634,1.6967,1.0525,1.2377,1.5098,1.5488,1.3962,1.0474,1.0797,2.6693,1.89,1.1547,1.9885,1.0832,1.3392,1.3337,1.5617,1.3661,1.2011,4.5062,1.9538,2.6745,0.2528,,0.7106,0.5644,,0.3498,0.6527,0.596,0.4142,,0.4057,0.3903,0.2943,0.7946,0.365,1.1666,0.1966,1.2233,,,0.5703,0.2448,0.3462,,0.3832,0.8318,0.4482,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,590.704,543.861,524.979,996.354,693.247,672.107,660.776,1075.688,639.177,653.96,825.747,905.191,724.622,701.603,742.459,1476.7469,933.757,890.01,819.47,1204.23,951.3,936.7,1040.4,1440.8,1800,1922,1919.2,2375,2042.1,2302.7,2190.2,2788.7,2602,2585,2756,3474,5043,5065,6626,5929,5738,5825,7486,10940,7853,9958,9228,9181,9521,10030,10380,11386,10553,13005,17598,19855,17184,17996,19172,20030,17634,18128,20533,25368,22763,24185,25360,26231,32918,27347,29937,28043,25175,30093,27926,24592,22784,29607,29904,30198,32037,31709,36274,36165,33720,38274,33739,37955,38147,38546,41050,44720,43867,44693,46541,47049,45453,49762,51199,48285,48644,51368,58989,51942,52163,54254,58843,58158,65145,57481,60472,58963,50458,68562,78156,28206,81000,73646,75898,96679,-9010,96925,94606,103804,70299,96508,75504,112434,68865,9282,63439,92535,120151,125564,63432,130190,91745,117510,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14310,15587,16178,16480,15531,17210,17408,17076,16772,18336,18573,19122,19264,20814,20982,20387,21996,23412,24627,20744,22328,24846,25078,24845,24941,27792,27436,26832,28279,30542,30536,33696,30229,31733,32055,36326,31882,33778,33832,33844,32409,34128,34026,34426,31926,28703,32703,33712,33698,36743,36722,37880,37862,40220,39597,39839,38388,39126,39456,38717,37472,38892,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,317.216,269.947,255.696,646.401,326.42,352.572,383.536,772.489,381.766,374.501,636.73,429.977,433.385,399.794,469.68,503.248,578.125,490.482,509.786,664.86,600,571.2,644.7,827.8,1330.9,1405.3,1410.8,1624.1,1362.1,1625.7,1507.3,1991.5,1937,1823,2059,2423,3375,3353,5168,4687,4636,4915,6483,8718,6253,8432,9409,7148,6117,6545,7969,10920,7772,9901,13930,12525,11895,14226,14888,14407,13673,13897,17549,15113,16588,17843,18209,18091,25940,19369,19960,20313,20619,22187,23123,20747,22183,21470,21755,22402,23819,25400,28439,26300,28189,29564,26906,29743,29446,30059,31165,34943,32676,33826,35209,35512,34808,36633,40248,37856,36679,40775,39922,39675,40659,41852,43076,40970,54113,45709,49418,45191,45950,43495,48787,51022,47445,45130,49522,56321,47995,41008,49279,37657,49969,49662,52343,52374,55806,54158,57051,57270,68396,69183,69146,70492,65500,68056,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22183,21470,21755,22402,23819,25400,28439,26300,28189,29564,26906,29743,29446,30059,31165,34943,32676,33826,35209,35512,34808,36633,40248,37856,36679,40775,39922,39675,40659,41852,43076,40970,54113,45709,49418,45191,45950,43495,48787,51022,47445,45130,49522,56321,47995,41008,49279,37657,49969,49662,52343,52374,55806,54158,57051,57270,68396,69183,69146,70492,65500,68056,
Gross Profit,GROSS_PROFIT,273.488,273.914,269.283,349.953,366.827,319.535,277.24,303.199,257.411,279.459,189.017,475.214,291.237,301.809,272.779,973.499,355.632,399.528,309.684,539.37,351.3,365.5,395.7,613.0001,469.1,516.7,508.3999,750.9,680,677,682.8999,797.2,665,762,697,1051,1668,1712,1458,1242,1102,910,1003,2222,1600,1526,-181,2033,3404,3485,2411,466,2781,3104,3668,7330,5289,3770,4284,5623,3961,4231,2984,10255,6175,6342,7151,8140,6978,7978,9977,7730,4556,7906,4803,3845,601,8137,8149,7796,8218,6309,7835,9865,5531,8710,6833,8212,8701,8487,9885,9777,11191,10867,11332,11537,10645,13129,10951,10429,11965,10593,19067,12267,11504,12402,15767,17188,11032,11772,11054,13772,4508,25067,29369,-22816,33555,28516,26376,40358,-57005,55917,45327,66147,20330,46846,23161,60060,13059,-44876,6388,35265,51755,56381,-5714,59698,26245,49454,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,138.457,124.195,123.808,154.594,140.562,129.805,129.052,156.727,138.952,129.724,121.149,141.428,139.21,136.136,127.659,173.904,158.008,149.003,150.826,155.569,154.9,170.1,192,258.9,226,219.2,212,266.4,286.8,287.6,297.1,132.4,272,271,274,350,1156,1211,1179,1315,500,501,537,1985,872,900,976,1789,1874,1873,933,-721,1050,1126,1734,3740,2928,1892,2321,405,2099,2137,2251,2532,2337,2431,2524,2564,2591,2845,2792,2952,2776,3099,2955,3382,2656,2836,2816,2831,2527,2734,2633,2724,2639,2783,2801,3085,3079,3176,3257,2358,3210,3285,3248,3587,3265,3389,3384,3732,3443,3780,4130,3956,4115,4509,4424,7514,4558,4489,4496,8877,5457,9339,5588,5723,5085,9889,5546,2804,5320,19249,6687,20011,5003,10196,9998,10228,5407,9549,9969,12922,6473,10208,10247,11996,9716,10339,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,730,756,759,,758,776,809,,820,1017,1230,,1182,1241,,,1291,1242,1289,,1378,1440,1560,,1641,1761,1732,,1860,2049,1861,,1963,2073,2015,2066,1839,1915,1896,2054,2035,2122,2105,2408,2428,2476,2573,4393,3210,3285,3248,3587,3265,3389,3384,3732,3443,3780,4130,3956,4115,4509,4424,7514,4558,4489,4496,8877,5457,4232,5588,5723,5085,4829,5546,7768,4471,4652,6662,2083,3910,5045,4889,4999,4251,3762,4068,7425,5602,5005,5120,6878,4773,5195,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
