Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Southern Co/The (SO US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
Revenue,,2269.518,1.0,2561.804,1.0,3164.461,1.0,2159.217,1.0,2213.588,1.0,2630.772,1.0,3248.008,1.0,2456.632,1.0,2552.902,1.0,2859.223,1.0,3319.096,1.0,2519.779,1.0,2754.05,1.0,3008.9,1.0
  Southern Company System,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2588,1.0,2916,1.0
    Total Retail,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2144,0.828438948995363,2478,0.849794238683128
    Wholesale,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,351,0.135625965996909,344,0.117969821673525
    Other Electric,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,93,0.035935085007728,94,0.032235939643347
  Other,,207.311,0.127973070906777,203.434,0.108434691809645,275.667,0.119423785983592,-377.54,-0.137682546802548,203.784,0.12103458843821,238.339,0.119885938367685,239.91,0.0951748104715697,-365.253,-0.13841097547389,237.673,0.131962257949172,202.909,0.0950641455405462,182.832,0.0728635836311994,-256.425,-0.0803851212994788,258.283,0.103508499837493,186.758,0.0676964054114206
    Southern Power,,126.994,0.0783933904459252,128.954,0.0687352519619188,170.49,0.0738592623431265,-423.847,-0.154569938058535,137.19,0.0814820358214487,152.249,0.0765821549580292,155.138,0.0615448699384702,-443.839,-0.168190785409992,148.02,0.082184570488177,117.525,0.0550612033209601,94.373,0.0376102376937691,-359.479,-0.112690896049977,165.743,0.0664225260220985,93.152,0.0337659193013668
    Georgia Power,,35.516,0.0219240251907766,37.509,0.0199931027020458,41.957,0.0181765092974987,36.004,0.0131300588416563,35.292,0.0209611779882686,44.811,0.022540200236614,44.233,0.0175476945170645,41.026,0.0155466174947004,39.259,0.0217976222996578,42.672,0.0199921009837227,41.443,0.016516176032794,45.93,0.0143983177197428,41.996,0.016830155136712,43.395,0.0157299045440013
    Alabama Power,,29.635,0.0182936841572436,23.886,0.0127317510768366,26.428,0.0114490737591891,27.605,0.0100670834997201,21.052,0.0125035339172909,26.132,0.0131445518418066,24.677,0.00978962443419168,25.001,0.00947401608699376,38.023,0.0211113628136195,30.288,0.014190118920955,32.785,0.0130657247601562,42.859,0.0134356085162303,37.328,0.0149594254439276,37.233,0.0134962907221293
    Gulf Power,,10.709,0.00661066521477717,9.979,0.00531902135124143,33.316,0.0144330763342343,-22.9,-0.00835124840223113,7.424,0.00440937848194792,11.008,0.00553708964773486,11.262,0.00446775338889925,7.375,0.00279472295674489,9.103,0.00505422338301497,9.218,0.00431869110582948,10.641,0.00424073134582345,9.526,0.0029862480861805,9.652,0.00386809832792513,9.547,0.00346061524787604
    Mississippi Power,,4.457,0.00275130589805415,3.106,0.00165556471760255,3.476,0.00150586424954371,5.598,0.00204149731684235,2.826,0.00167846222925442,4.139,0.0020819416835006,4.6,0.00182486819294411,5.184,0.00196445339766312,3.268,0.00181447896470317,3.206,0.0015020312090789,3.59,0.00143071379865672,4.739,0.00148560042834447,3.564,0.00142829490683021,3.431,0.00124367559604721
  Other electric,,—,,—,,—,,—,,—,,—,,—,,—,,91.877,0.0510125103549672,227.921,0.10678242520414,90.556,0.0360890581479549,-409.84,-0.12847826114216,93,0.0372703216428758,94,0.0340733040012933
Revenue by Distribution Channel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2754.05,1.0,3008.9,1.0
  Southern Company System,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2753.743,1.0,3009.152,1.0
    Total Retail,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2144,0.778576650035969,2478,0.823487813177932
