Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Exxon Mobil Corp (XOM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2000,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2000,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
      Corpus Christi,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,
      Ontario,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"      Mont Belvieu,Texas",,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"      Beaumont,Texas",,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,1100,0.0401459854014599,500,0.0231481481481482,500,0.0232558139534884,500,0.0232558139534884,1000,0.0448430493273543,1000,0.0429184549356223,1100,0.0454545454545455,1100,0.0464135021097046,1100,0.0464135021097046,1100,0.0424710424710425,1100,0.0401459854014599,1100,0.0391459074733096,1100,0.0391459074733096,1100,0.0365448504983389,1100,0.0416666666666667,1100,0.0415094339622641
      Singapore,,—,,—,,—,,—,,—,,—,,—,,—,,900,0.0328467153284672,400,0.0185185185185185,400,0.0186046511627907,400,0.0186046511627907,900,0.0403587443946188,900,0.0386266094420601,900,0.0371900826446281,900,0.0379746835443038,900,0.0379746835443038,900,0.0347490347490347,900,0.0328467153284672,900,0.0320284697508897,900,0.0320284697508897,900,0.0299003322259136,900,0.0340909090909091,900,0.0339622641509434
      China,,—,,—,,—,,—,,—,,—,,—,,—,,200,0.0072992700729927,100,0.00462962962962963,100,0.00465116279069767,100,0.00465116279069767,100,0.00448430493273543,100,0.00429184549356223,200,0.00826446280991736,200,0.00843881856540084,200,0.00843881856540084,200,0.00772200772200772,200,0.0072992700729927,200,0.00711743772241993,200,0.00711743772241993,200,0.00664451827242525,200,0.00757575757575758,200,0.00754716981132076
      Thailand,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,,—,
"      Kawasaki, Japan",,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Europe,,—,,—,,—,,—,,—,,—,,—,,—,,300,0.0109489051094891,300,0.0138888888888889,300,0.013953488372093,300,0.013953488372093,300,0.0134529147982063,300,0.0128755364806867,300,0.012396694214876,300,0.0126582278481013,300,0.0126582278481013,300,0.0115830115830116,300,0.0109489051094891,300,0.0106761565836299,300,0.0106761565836299,300,0.00996677740863787,300,0.0113636363636364,300,0.0113207547169811
"      Gravenchon
,France",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,300,0.013953488372093,300,0.0134529147982063,300,0.0128755364806867,300,0.012396694214876,300,0.0126582278481013,300,0.0126582278481013,300,0.0115830115830116,300,0.0109489051094891,300,0.0106761565836299,300,0.0106761565836299,300,0.00996677740863787,300,0.0113636363636364,300,0.0113207547169811
"      Meerhout,Belgium",,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
